ID,First Name,Last Name,Email,Year Level,Gender,Program Code
2023-0173,Maria Isabella,Gonzales,maria.gonzales@gmail.com,2nd Year,Female,BSAc
2023-0177,Melissa Jane,Santos,melissa.santos@gmail.com,3rd Year,Female,BAELS
2932-4382,fhgvhb,fcgvhbn,fchgvhbn@tcvhbn.com,2nd Year,Female,BSCpE
1928-0001,Marvin,Villanueva,marvinvillanueva@gmail.com,5th Year and Above,Male,BSCE
3817-0019,Alfredo,Harken,alhark@yahoo.com,2nd Year,Other,BSME
2023-0181,John Michael,Dela Cruz,john.delacruz@gmail.com,1st Year,Male,BSP
2023-0182,Andrea,Ramos,andrea.ramos@yahoo.com,3rd Year,Female,BAF
2023-0183,Carl Joseph,Reyes,carl.reyes@hotmail.com,4th Year,Male,BSChE
2023-0184,Emily,Rodriguez,emily.rodriguez@outlook.com,2nd Year,Female,BSBb
2023-0185,Joshua,Lim,joshua.lim@gmail.com,1st Year,Male,BSM
2023-0186,Alyssa,Mendoza,alyssa.mendoza@ymail.com,3rd Year,Female,BSPh
2023-0187,Kevin,Sy,kevin.sy@gmail.com,4th Year,Male,BSS
2023-0189,Brian,Chua,brian.chua@hotmail.com,5th Year and Above,Male,BSCE
2023-0190,Katrina,Ong,katrina.ong@gmail.com,3rd Year,Female,BSeM
2023-0191,Daniel,Uy,daniel.uy@ymail.com,2nd Year,Male,BSBz
2023-0192,Christine,Lao,christine.lao@yahoo.com,4th Year,Female,BSeC
2023-0193,Nathaniel,Go,nathaniel.go@gmail.com,1st Year,Male,BSeT
2023-0194,Isabel,Co,isabel.co@outlook.com,2nd Year,Female,BEeE
2023-0195,Mark Angelo,Lee,mark.lee@gmail.com,3rd Year,Male,BSCS
2023-0196,Jessica,Dy,jessica.dy@ymail.com,4th Year,Female,BSHRM
2023-0197,Raymond,Chan,raymond.chan@yahoo.com,2nd Year,Male,BSBAb
2023-0198,Maricar,Lim,maricar.lim@gmail.com,1st Year,Female,BSBm
2023-0199,Albert,Cruz,albert.cruz@hotmail.com,3rd Year,Male,BSBg
2023-0200,Hannah,Garcia,hannah.garcia@ymail.com,4th Year,Female,BSCA
2023-0201,Jason,De Leon,jason.deleon@gmail.com,2nd Year,Male,BSTeI
2023-0202,Catherine,Reyes,catherine.reyes@yahoo.com,5th Year and Above,Female,BSTeD
2023-0203,Josephine,Roxas,josephine.roxas@outlook.com,3rd Year,Female,BSBAe
2023-0204,Robert,Yu,robert.yu@gmail.com,4th Year,Male,BSBAm
2023-0205,Michelle,Torres,michelle.torres@hotmail.com,2nd Year,Female,BSBAe
2023-0206,Steven,Ang,steven.ang@ymail.com,1st Year,Male,BSCeE
2023-0207,Nicole,Perez,nicole.perez@gmail.com,3rd Year,Female,BSMnE
2023-0208,Richard,Manalo,richard.manalo@yahoo.com,2nd Year,Male,BSIT
2023-0209,Stephanie,Bautista,stephanie.bautista@gmail.com,4th Year,Female,BSMtE
2023-0210,Francis,Navarro,francis.navarro@outlook.com,5th Year and Above,Male,BEeSH
2024-1005,Ryan,Santiago,ryan.santiago@gmail.com,1st Year,Male,BSBAe
2024-1006,Stephanie,Morales,stephanie.morales@yahoo.com,2nd Year,Female,BSAc
2024-1007,Joshua,Tan,joshua.tan@hotmail.com,3rd Year,Male,BSCE
2024-1008,Patricia,Domingo,patricia.domingo@outlook.com,4th Year,Female,BSIS
2024-1009,Andrew,Lim,andrew.lim@gmail.com,2nd Year,Male,BSMnE
2024-1010,Nicole,Bautista,nicole.bautista@ymail.com,3rd Year,Female,BSP
2024-1011,Kevin,Rodriguez,kevin.rodriguez@gmail.com,1st Year,Male,BAELS
2024-1012,Sophia,Garcia,sophia.garcia@yahoo.com,2nd Year,Female,BSeM
2024-1013,Daniel,Lopez,daniel.lopez@hotmail.com,3rd Year,Male,BSPh
2024-1015,Michael,Chan,michael.chan@outlook.com,2nd Year,Male,BSTeI
2024-1016,Marianne,Ong,marianne.ong@ymail.com,1st Year,Female,BEeE
2024-1017,Eric,Reyes,eric.reyes@gmail.com,3rd Year,Male,BSBAm
2024-1018,Janine,Lao,janine.lao@yahoo.com,2nd Year,Female,BSBg
2024-1019,Mark,Villanueva,mark.villanueva@hotmail.com,4th Year,Male,BSBz
2024-1020,Christine,Ramos,christine.ramos@gmail.com,5th Year and Above,Female,BSBm
2024-1021,Joseph,De Leon,joseph.deleon@outlook.com,3rd Year,Male,BSeT
2024-1022,Carla,Navarro,carla.navarro@gmail.com,2nd Year,Female,BSHRM
2024-1023,Nathan,Go,nathan.go@yahoo.com,4th Year,Male,BSeIE
2024-1024,Samantha,Torres,samantha.torres@ymail.com,1st Year,Female,BSTeD
2024-1025,Rafael,Yu,rafael.yu@gmail.com,3rd Year,Male,BSBAe
2024-1030,Jessica,Santos,jessica.santos@gmail.com,2nd Year,Female,BAF
2024-1031,Paul,Mendoza,paul.mendoza@hotmail.com,1st Year,Male,BSCE
2024-1032,Katrina,Lim,katrina.lim@outlook.com,3rd Year,Female,BSPh
2024-1033,Albert,Chan,albert.chan@gmail.com,4th Year,Male,BSP
2024-1034,Stephanie,Dela Cruz,stephanie.delacruz@yahoo.com,2nd Year,Female,BSS
2024-1035,Francis,Martinez,francis.martinez@hotmail.com,1st Year,Male,BSChE
2024-1036,Hannah,Gonzales,hannah.gonzales@ymail.com,3rd Year,Female,BSMnE
2024-1037,Raymond,Tan,raymond.tan@gmail.com,2nd Year,Male,BSBBz
2024-1038,Michelle,Ortega,michelle.ortega@yahoo.com,4th Year,Female,BSeM
2024-1039,Jason,Perez,jason.perez@hotmail.com,5th Year and Above,Male,BEeE
2024-1040,Angela,Rodriguez,angela.rodriguez@outlook.com,3rd Year,Female,BSeT
